Date,LINK
14/12/19,2.010685921
15/12/19,2.086839914
16/12/19,1.981582999
17/12/19,1.756351948
18/12/19,1.880720973
19/12/19,1.820492983
20/12/19,1.923432946
21/12/19,1.873682976
22/12/19,1.935425043
23/12/19,1.876850009
24/12/19,1.86311996
25/12/19,1.804757953
26/12/19,1.861799955
27/12/19,1.886505961
28/12/19,1.874338031
29/12/19,1.902403951
30/12/19,1.838973999
31/12/19,1.769471049
1/1/20,1.806640029
2/1/20,1.741143942
3/1/20,1.809707999
4/1/20,1.840132952
5/1/20,1.807786942
6/1/20,1.937466025
7/1/20,2.114098072
8/1/20,2.183605909
9/1/20,2.186048985
10/1/20,2.223958969
11/1/20,2.283246994
12/1/20,2.245193005
13/1/20,2.192452908
14/1/20,2.38992691
15/1/20,2.404977083
16/1/20,2.484478951
17/1/20,2.724108934
18/1/20,2.774105072
19/1/20,2.618951082
20/1/20,2.697299004
21/1/20,2.673549891
22/1/20,2.645581961
23/1/20,2.462109089
24/1/20,2.504390001
25/1/20,2.456526041
26/1/20,2.571582079
27/1/20,2.609652042
28/1/20,2.655339003
29/1/20,2.785324097
30/1/20,2.912987947
31/1/20,2.823791027
1/2/20,2.838953018
2/2/20,2.832581043
3/2/20,2.774658918
4/2/20,2.741121054
5/2/20,2.845628977
6/2/20,2.88468194
7/2/20,3.308532
8/2/20,3.414457083
9/2/20,3.477313042
10/2/20,3.411484003
11/2/20,3.975558996
12/2/20,4.025118828
13/2/20,3.874434948
14/2/20,4.414372921
15/2/20,4.304660797
16/2/20,4.504170895
17/2/20,4.297008991
18/2/20,4.543797016
19/2/20,4.40132618
20/2/20,4.27136898
21/2/20,4.292057991
22/2/20,4.102937222
23/2/20,4.243481159
24/2/20,3.913672924
25/2/20,3.513103962
26/2/20,3.600724936
27/2/20,3.948595047
28/2/20,4.161910057
29/2/20,4.108541012
1/3/20,3.879533052
2/3/20,4.215006828
3/3/20,4.583631992
4/3/20,4.644871235
5/3/20,4.721253872
6/3/20,4.678497791
7/3/20,4.344593048
8/3/20,4.089671135
9/3/20,4.063914776
10/3/20,4.08493185
11/3/20,3.817517042
12/3/20,2.064779043
13/3/20,2.421134949
14/3/20,2.143517971
15/3/20,2.109210968
16/3/20,1.779876947
17/3/20,1.842805028
18/3/20,1.887699962
19/3/20,2.246665955
20/3/20,2.247900009
21/3/20,2.271615028
22/3/20,1.988865018
23/3/20,2.237792969
24/3/20,2.307897091
25/3/20,2.259675026
26/3/20,2.295137882
27/3/20,2.174971104
28/3/20,2.136710882
29/3/20,2.025167942
30/3/20,2.153320074
31/3/20,2.270344019
1/4/20,2.278259993
2/4/20,2.301708937
3/4/20,2.305067062
4/4/20,2.326212883
5/4/20,2.277324915
6/4/20,2.513413906
7/4/20,2.717984915
8/4/20,3.139040947
9/4/20,3.321693897
10/4/20,3.217099905
11/4/20,3.282313108
12/4/20,3.462611914
13/4/20,3.369805098
14/4/20,3.236891985
15/4/20,3.129014969
16/4/20,3.468647957
18/4/20,3.783458948
19/4/20,3.637567997
20/4/20,3.458327055
21/4/20,3.47627902
22/4/20,3.678814888
23/4/20,3.725009918
24/4/20,3.804795027
25/4/20,3.80308795
26/4/20,3.71677804
27/4/20,3.641899109
28/4/20,3.675324917
29/4/20,3.90606904
30/4/20,3.720477104
1/5/20,3.783184052
2/5/20,3.822182894
3/5/20,3.722168922
4/5/20,3.76789999
5/5/20,3.687693119
6/5/20,3.63645792
7/5/20,3.754018068
8/5/20,3.822108984
9/5/20,4.040320873
10/5/20,3.761324883
11/5/20,3.585064888
12/5/20,3.692373991
13/5/20,3.760423899
14/5/20,3.799386978
15/5/20,3.674653053
16/5/20,3.760094881
17/5/20,3.784328938
18/5/20,3.885345936
19/5/20,3.922476053
20/5/20,4.071049213
21/5/20,3.847750902
22/5/20,4.070281982
23/5/20,3.955060959
24/5/20,3.836322069
25/5/20,3.86993289
26/5/20,3.836277008
27/5/20,3.857702971
28/5/20,4.025351048
29/5/20,3.986593962
30/5/20,4.168448925
31/5/20,4.129938126
1/6/20,4.380641937
2/6/20,4.386834145
3/6/20,4.490728855
4/6/20,4.433020115
5/6/20,4.377437115
6/6/20,4.342623234
7/6/20,4.349933147
8/6/20,4.457829952
9/6/20,4.450149059
10/6/20,4.420300961
11/6/20,3.97121191
12/6/20,4.090941906
13/6/20,4.114653111
14/6/20,3.955013037
15/6/20,3.933902979
16/6/20,4.048714161
17/6/20,4.163669109
18/6/20,4.168980122
19/6/20,4.079961777
20/6/20,4.170770168
21/6/20,4.189149857
22/6/20,4.467934132
23/6/20,4.806252003
24/6/20,4.719017029
25/6/20,4.814206123
26/6/20,4.680805206
27/6/20,4.426551819
28/6/20,4.563483238
29/6/20,4.617929935
30/6/20,4.569189072
1/7/20,4.698256016
2/7/20,4.846618176
3/7/20,4.744166851
4/7/20,4.8045578
5/7/20,4.742169857
6/7/20,5.365053177
7/7/20,5.712817192
8/7/20,6.475725174
9/7/20,6.104310989
10/7/20,6.138474941
11/7/20,6.11968708
12/7/20,7.309183121
13/7/20,7.182291031
14/7/20,8.10346508
15/7/20,8.643122673
16/7/20,8.337705612
17/7/20,8.280392647
18/7/20,7.959280014
19/7/20,8.065190315
20/7/20,7.272983074
21/7/20,7.28157711
22/7/20,7.466975212
23/7/20,7.87447691
24/7/20,7.432153225
25/7/20,7.657824039
26/7/20,7.499004841
27/7/20,7.095582962
28/7/20,7.223460197
29/7/20,7.116083145
30/7/20,7.416992188
31/7/20,7.772912025
1/8/20,8.304458618
2/8/20,8.271776199
3/8/20,9.164758682
4/8/20,9.821836472
5/8/20,9.558773994
6/8/20,10.14025497
7/8/20,10.06336498
8/8/20,12.68920708
9/8/20,13.85320473
10/8/20,13.44103527
11/8/20,13.10599041
12/8/20,16.62154388
13/8/20,17.32600212
14/8/20,16.92643166
15/8/20,19.09875107
16/8/20,18.80418587
17/8/20,16.70554543
18/8/20,16.24137497
19/8/20,16.23998451
20/8/20,16.09129715
21/8/20,13.80085564
22/8/20,15.96019173
23/8/20,15.17467594
24/8/20,15.1833601
25/8/20,14.21681118
26/8/20,15.25175476
27/8/20,14.49771118
28/8/20,15.15606117
29/8/20,16.56707764
30/8/20,16.47296333
31/8/20,15.70848846
1/9/20,16.12149239
2/9/20,14.89739704
3/9/20,12.01667786
4/9/20,12.49286556
5/9/20,10.61147213
6/9/20,12.91372871
7/9/20,12.42657661
8/9/20,11.78503227
9/9/20,12.37729263
10/9/20,12.5513134
11/9/20,12.50149727
12/9/20,12.76903057
13/9/20,11.99354553
14/9/20,12.11957932
15/9/20,10.97815418
16/9/20,10.76181602
17/9/20,10.98888016
18/9/20,10.08164215
19/9/20,10.14727688
20/9/20,9.768121719
21/9/20,8.759941101
