Date,Cryptocurrency,Crackdown,Crypto,Blockchain,Digital currency,Crypto Mining,DeFi,Altcoins,Smart contracts,Stablecoin,Bittrex,Coinbase,Vitalik,Satoshi,Cryptocurrency regulation,Gary Gensler,Tesla,Elon Musk,Whales,Decentralised finance,Distributed ledger,Halving,ICO,China Digital Currency
7/3/18,22,5,7,42,10,23,22,11,7,0,14,3,3,24,0,0,8,3,25,0,0,1,37,0
8/3/18,21,4,6,42,14,11,24,5,12,2,10,2,3,17,0,0,8,3,29,0,12,1,38,0
9/3/18,23,3,7,40,12,11,26,5,9,2,10,2,6,28,12,0,9,3,20,0,77,0,32,16
10/3/18,14,3,5,32,8,15,22,6,2,0,10,2,3,17,0,0,8,3,25,0,14,0,24,0
11/3/18,15,2,5,34,5,21,21,16,13,0,9,1,1,20,0,0,8,5,20,0,0,0,27,0
12/3/18,15,3,5,49,16,16,26,5,4,0,8,1,5,20,0,0,8,6,22,0,12,1,35,0
13/3/18,15,3,6,49,11,13,19,8,4,0,5,1,5,18,6,0,8,4,29,0,72,1,38,15
14/3/18,20,3,6,44,11,17,29,13,10,2,6,2,2,18,0,0,8,4,36,0,36,0,37,0
15/3/18,21,4,7,46,10,23,35,5,10,2,6,2,2,31,6,0,8,3,34,0,36,1,33,0
16/3/18,16,2,5,39,19,15,32,7,1,0,8,1,1,16,0,0,8,3,33,0,13,1,30,0
17/3/18,17,2,5,32,3,6,22,7,15,0,8,1,1,20,0,0,8,2,24,0,14,1,20,0
18/3/18,21,2,6,28,10,15,21,4,2,0,11,2,2,14,0,0,8,3,37,0,0,1,17,0
19/3/18,17,3,6,42,7,19,27,10,1,0,8,2,2,11,6,0,8,3,39,0,24,1,32,0
20/3/18,15,3,6,46,3,15,19,13,6,0,9,2,3,17,0,0,8,3,39,0,24,0,33,0
21/3/18,16,3,5,41,11,11,25,3,6,0,9,1,2,22,0,0,8,3,35,0,12,0,34,0
22/3/18,15,3,5,47,10,9,28,0,6,0,7,1,2,25,6,0,8,3,33,0,12,1,31,0
23/3/18,13,2,5,43,22,10,26,3,9,0,6,1,1,19,6,0,9,5,62,0,25,0,32,0
24/3/18,12,3,4,30,3,9,19,11,2,0,9,1,4,20,13,0,9,6,54,0,14,0,21,0
25/3/18,11,3,4,24,3,15,24,4,3,0,10,1,1,20,0,0,8,4,42,0,14,0,21,0
26/3/18,15,3,5,37,11,13,26,3,9,0,6,1,1,17,6,0,8,4,35,0,0,0,31,0
27/3/18,15,4,5,42,14,7,29,8,9,0,9,1,0,23,6,0,9,4,37,0,12,1,29,0
28/3/18,14,5,5,43,7,14,24,2,5,0,8,1,2,17,12,0,13,3,28,0,51,1,31,0
29/3/18,19,4,5,37,7,9,33,3,3,2,9,1,2,17,12,0,12,3,31,0,13,0,27,0
30/3/18,18,2,6,32,11,9,33,8,8,4,7,1,1,18,0,0,12,3,23,0,14,0,26,0
31/3/18,11,2,4,25,6,10,25,10,6,4,6,1,1,23,9,0,11,3,30,0,37,1,23,9
1/4/18,13,3,4,24,6,11,25,9,6,0,6,1,1,19,3,0,11,4,27,0,0,0,20,0
2/4/18,13,3,4,33,3,13,25,12,15,0,8,1,3,22,31,0,14,5,24,0,20,0,25,0
3/4/18,13,4,5,41,12,12,19,1,4,0,9,1,6,18,8,0,12,4,27,0,6,0,29,0
4/4/18,12,3,4,42,11,10,28,6,7,0,6,1,6,23,5,0,10,3,27,0,36,0,31,0
5/4/18,15,3,5,38,7,13,31,4,8,0,8,2,3,34,8,0,9,3,29,0,0,0,27,0
6/4/18,15,3,5,40,14,7,28,6,4,0,7,2,2,26,0,0,9,3,28,0,14,0,24,0
7/4/18,12,2,4,24,8,6,25,5,14,0,6,1,3,33,0,0,8,3,26,0,36,0,16,0
8/4/18,10,3,4,25,8,13,20,2,7,0,7,1,2,23,0,5,8,3,25,0,14,0,20,0
9/4/18,13,3,5,38,10,16,26,1,12,1,7,1,4,16,7,0,8,2,29,0,12,0,28,0
10/4/18,11,3,4,42,5,19,29,5,3,2,13,1,3,19,20,0,8,2,28,0,0,1,27,0
11/4/18,10,3,4,41,19,8,24,1,7,2,14,1,2,16,5,2,8,2,35,0,18,0,24,0
12/4/18,14,3,5,39,12,8,22,8,17,0,13,1,1,23,0,0,9,2,25,0,50,0,27,0
13/4/18,14,3,5,36,7,11,25,0,6,2,12,1,1,17,0,0,9,3,27,0,0,0,25,0
14/4/18,9,2,4,24,9,7,26,5,3,0,12,1,3,14,6,0,8,3,20,0,7,0,20,0
15/4/18,10,2,4,27,8,5,21,4,3,0,9,1,3,53,0,0,8,2,28,0,50,0,24,0
16/4/18,10,2,5,40,12,11,20,9,5,0,13,1,1,33,5,0,8,2,22,0,12,0,28,0
17/4/18,14,1,5,42,8,18,19,13,15,0,12,2,0,27,3,0,9,2,24,0,25,0,29,0
18/4/18,14,3,5,43,17,14,20,6,10,0,12,1,3,21,18,0,9,3,27,0,31,0,30,0
19/4/18,13,3,5,44,7,11,30,4,11,0,11,1,3,24,0,0,9,3,28,0,25,1,26,0
20/4/18,14,2,5,38,11,9,26,14,9,1,12,2,3,18,0,0,8,2,32,0,26,0,27,0
21/4/18,12,3,4,27,19,8,25,17,4,0,10,1,2,24,0,0,8,2,22,0,14,0,20,0
22/4/18,10,3,4,31,12,10,22,6,5,0,10,2,3,22,0,0,8,2,34,0,43,1,23,0
23/4/18,13,4,4,45,13,9,30,9,11,0,10,1,5,23,5,6,8,2,31,0,18,0,29,0
24/4/18,16,2,6,45,11,11,29,11,9,1,16,2,5,22,3,5,8,2,27,0,25,0,31,0
25/4/18,14,3,6,43,11,9,22,9,7,0,10,2,2,24,3,3,8,2,28,0,18,0,30,0
26/4/18,12,3,5,39,7,11,25,8,6,3,10,1,3,23,13,0,7,2,29,0,31,1,28,16
27/4/18,12,4,5,39,7,10,21,8,5,0,11,1,4,12,3,2,8,2,27,0,20,1,27,0
28/4/18,12,2,4,25,14,17,23,2,8,0,13,1,4,22,7,0,8,2,26,0,14,0,23,0
29/4/18,12,3,5,28,9,9,26,10,3,1,11,1,3,13,0,0,8,2,23,0,14,0,21,0
30/4/18,12,3,5,39,13,18,21,11,5,3,10,1,5,19,0,0,8,2,23,0,0,0,32,0
1/5/18,12,3,6,39,5,9,31,12,11,0,11,1,2,20,5,0,8,2,29,0,26,0,29,0
2/5/18,11,4,5,42,11,14,26,12,9,0,11,1,1,21,0,0,10,2,32,0,24,1,33,0
3/5/18,11,2,5,45,14,10,23,5,11,0,10,1,2,12,5,0,13,4,27,0,31,1,34,0
4/5/18,12,2,5,34,12,7,24,10,5,0,11,2,4,12,0,0,10,3,27,0,26,0,33,0
5/5/18,11,2,5,26,7,4,27,4,8,0,11,1,4,20,6,0,9,2,23,0,14,0,23,0
6/5/18,11,2,4,28,8,7,17,9,7,0,11,1,4,18,9,0,8,3,24,0,21,1,25,0
7/5/18,12,2,6,37,8,13,22,7,7,0,8,1,2,16,0,0,8,4,25,0,44,0,25,0
8/5/18,12,3,5,40,6,12,39,8,7,3,9,1,2,18,5,5,9,15,28,0,18,1,36,0
9/5/18,11,1,5,46,13,14,30,3,7,0,10,1,3,19,3,0,9,10,28,0,37,1,34,0
10/5/18,12,2,5,38,4,13,38,11,6,0,8,1,2,25,0,2,9,6,32,0,7,1,33,0
11/5/18,15,2,6,40,6,9,34,8,8,0,7,1,1,16,0,0,9,5,27,0,7,0,31,0
12/5/18,12,3,5,26,10,11,30,2,7,0,8,1,1,15,0,0,9,5,23,0,0,1,24,0
13/5/18,11,3,4,27,8,9,31,8,9,0,8,1,5,17,0,0,9,4,25,0,7,0,24,0
14/5/18,12,3,6,47,9,9,33,10,9,1,7,1,4,15,0,0,9,3,31,0,12,1,33,0
15/5/18,12,5,5,44,3,17,47,5,5,0,8,1,2,15,0,0,9,3,27,0,12,1,34,0
16/5/18,11,2,5,52,9,12,31,6,9,2,7,1,1,15,0,0,9,2,30,0,25,1,33,0
17/5/18,10,2,5,45,5,7,25,10,7,0,6,1,2,18,0,0,9,2,26,0,32,0,35,0
18/5/18,10,3,5,38,9,11,29,4,9,1,7,1,3,15,0,0,8,3,24,0,7,0,30,0
19/5/18,9,2,4,28,7,9,24,3,6,0,5,1,2,16,0,0,8,3,27,0,22,0,25,0
20/5/18,8,2,4,27,6,8,24,9,3,0,7,1,3,20,6,0,9,3,26,0,7,0,22,0
21/5/18,9,2,5,38,14,7,24,6,8,1,8,1,3,23,3,0,9,2,24,0,26,0,35,0
22/5/18,9,3,4,41,5,9,48,5,6,2,6,1,4,17,3,0,10,3,30,0,37,0,35,0
23/5/18,12,3,5,38,6,7,36,3,5,0,5,1,3,14,0,0,8,3,25,0,26,1,36,0
24/5/18,9,3,5,39,12,8,25,5,7,1,6,1,3,18,5,0,9,4,27,0,38,0,36,0
25/5/18,9,2,4,34,1,8,27,6,2,1,7,1,5,13,0,0,9,3,23,0,27,0,30,0
26/5/18,7,4,4,20,5,11,27,6,4,2,6,1,1,23,0,0,8,3,22,0,7,0,21,9
27/5/18,9,3,3,24,4,13,26,3,1,0,6,1,2,18,0,0,8,3,21,0,14,0,20,9
28/5/18,10,2,4,36,12,12,28,4,6,1,6,1,1,18,3,3,8,3,24,0,0,0,27,0
29/5/18,10,4,4,43,14,8,27,5,11,1,6,1,2,16,0,0,8,3,25,0,31,0,29,0
30/5/18,10,6,4,41,8,17,24,3,13,0,5,1,2,15,0,0,9,3,30,0,19,1,30,0
31/5/18,10,4,4,39,7,13,36,9,7,0,7,1,2,21,18,0,8,2,29,0,18,0,28,0
1/6/18,9,3,4,36,12,7,26,6,7,0,7,1,3,21,5,0,8,2,21,0,7,0,26,0
