Date,XRP
23/12/19,0.190943003
24/12/19,0.192197993
25/12/19,0.190718994
26/12/19,0.190393999
27/12/19,0.191101998
28/12/19,0.193222001
29/12/19,0.197051004
30/12/19,0.194473997
31/12/19,0.192893997
1/1/20,0.192667007
2/1/20,0.188042998
3/1/20,0.193520993
4/1/20,0.194354996
5/1/20,0.195537001
6/1/20,0.221509993
7/1/20,0.213917002
8/1/20,0.209025994
9/1/20,0.204898998
10/1/20,0.212305993
11/1/20,0.211851001
12/1/20,0.215633005
13/1/20,0.212616995
14/1/20,0.234687001
15/1/20,0.232895002
16/1/20,0.228573993
17/1/20,0.238775998
18/1/20,0.243285999
19/1/20,0.235585004
20/1/20,0.233296007
21/1/20,0.237166002
22/1/20,0.236056
23/1/20,0.226104006
24/1/20,0.223040998
25/1/20,0.220427006
26/1/20,0.230685994
27/1/20,0.231222004
28/1/20,0.238488004
29/1/20,0.235730007
30/1/20,0.243642002
31/1/20,0.239233002
1/2/20,0.241455004
2/2/20,0.250734001
3/2/20,0.254626989
4/2/20,0.266808003
5/2/20,0.277467996
6/2/20,0.282213986
7/2/20,0.279284
8/2/20,0.277242988
9/2/20,0.282456994
10/2/20,0.274080008
11/2/20,0.280140996
12/2/20,0.304392993
13/2/20,0.326705992
14/2/20,0.334821999
15/2/20,0.306235999
16/2/20,0.295033991
17/2/20,0.286572009
18/2/20,0.297913015
19/2/20,0.277601987
20/2/20,0.272395998
21/2/20,0.274937987
22/2/20,0.27590099
23/2/20,0.282710999
24/2/20,0.270626992
25/2/20,0.253412008
26/2/20,0.230850995
27/2/20,0.237115994
28/2/20,0.236295998
29/2/20,0.231193006
1/3/20,0.228845999
2/3/20,0.238747001
3/3/20,0.234381005
4/3/20,0.234530002
5/3/20,0.239582002
6/3/20,0.244087994
7/3/20,0.237070993
8/3/20,0.206903994
9/3/20,0.209180996
10/3/20,0.212235004
11/3/20,0.208095998
12/3/20,0.139634997
13/3/20,0.159352005
14/3/20,0.147292003
15/3/20,0.153901994
16/3/20,0.141063005
17/3/20,0.144523993
18/3/20,0.143099993
19/3/20,0.165037006
20/3/20,0.156867996
21/3/20,0.158179
22/3/20,0.150214002
23/3/20,0.157418996
24/3/20,0.162255004
25/3/20,0.161633
26/3/20,0.175018996
27/3/20,0.176194996
28/3/20,0.175782993
29/3/20,0.163828999
30/3/20,0.172170997
31/3/20,0.174563006
1/4/20,0.175322995
2/4/20,0.178639993
3/4/20,0.179466993
4/4/20,0.181731999
5/4/20,0.179406002
6/4/20,0.195506006
7/4/20,0.192093
8/4/20,0.200868994
9/4/20,0.198256999
10/4/20,0.187463999
11/4/20,0.188062996
12/4/20,0.190135002
13/4/20,0.187731996
14/4/20,0.185334995
15/4/20,0.181270003
16/4/20,0.190103993
18/4/20,0.194924995
19/4/20,0.190859005
20/4/20,0.183489993
21/4/20,0.184328005
22/4/20,0.187969998
23/4/20,0.191710994
24/4/20,0.193664998
25/4/20,0.195053995
26/4/20,0.196805
27/4/20,0.197978005
28/4/20,0.215483993
29/4/20,0.227431998
30/4/20,0.212761
1/5/20,0.219247997
2/5/20,0.223913997
3/5/20,0.219413996
4/5/20,0.218962997
5/5/20,0.216463
6/5/20,0.215210006
7/5/20,0.218916997
8/5/20,0.219826996
9/5/20,0.216902003
10/5/20,0.198175997
11/5/20,0.194064006
12/5/20,0.197637007
13/5/20,0.201480001
14/5/20,0.203128994
15/5/20,0.198910996
16/5/20,0.200031996
17/5/20,0.201254994
18/5/20,0.205175996
19/5/20,0.204027995
20/5/20,0.201707006
21/5/20,0.195509002
22/5/20,0.200342998
23/5/20,0.198855996
24/5/20,0.195430994
25/5/20,0.197327003
26/5/20,0.193975002
27/5/20,0.197857007
28/5/20,0.200595006
29/5/20,0.198348001
30/5/20,0.206220001
31/5/20,0.202905998
1/6/20,0.210249007
2/6/20,0.202764004
3/6/20,0.203663006
4/6/20,0.204981998
5/6/20,0.204091996
6/6/20,0.203142002
7/6/20,0.203448996
8/6/20,0.203770995
9/6/20,0.202013001
10/6/20,0.202938005
11/6/20,0.190180004
12/6/20,0.193942994
13/6/20,0.193105996
14/6/20,0.191616997
15/6/20,0.193074003
16/6/20,0.191306993
17/6/20,0.193443
18/6/20,0.190956995
19/6/20,0.186790004
20/6/20,0.188500002
21/6/20,0.185609996
22/6/20,0.189272001
23/6/20,0.188679993
24/6/20,0.184272006
25/6/20,0.183569998
26/6/20,0.182670996
27/6/20,0.176851004
28/6/20,0.177691996
29/6/20,0.177958995
30/6/20,0.175870001
1/7/20,0.176975995
2/7/20,0.177243993
3/7/20,0.176336005
4/7/20,0.177983999
5/7/20,0.177017003
6/7/20,0.188566998
7/7/20,0.184787005
8/7/20,0.204692006
9/7/20,0.202910006
10/7/20,0.198651999
11/7/20,0.201196998
12/7/20,0.200537995
13/7/20,0.198575005
14/7/20,0.198808998
15/7/20,0.197110996
16/7/20,0.194048002
17/7/20,0.194280997
18/7/20,0.199340999
19/7/20,0.199135005
20/7/20,0.195065007
21/7/20,0.198988006
22/7/20,0.203342006
23/7/20,0.207578003
24/7/20,0.204049006
25/7/20,0.214102
26/7/20,0.214982003
27/7/20,0.223672003
28/7/20,0.230277002
29/7/20,0.243099004
30/7/20,0.244522005
31/7/20,0.25890401
1/8/20,0.289528996
2/8/20,0.287061989
3/8/20,0.30994001
4/8/20,0.300493002
5/8/20,0.30331099
6/8/20,0.303584009
7/8/20,0.294663996
8/8/20,0.294021994
9/8/20,0.288652986
10/8/20,0.294658989
11/8/20,0.284449011
12/8/20,0.284929991
13/8/20,0.297807008
14/8/20,0.300370991
15/8/20,0.299661011
16/8/20,0.30349201
17/8/20,0.314767003
18/8/20,0.303306997
19/8/20,0.29024601
20/8/20,0.292573005
21/8/20,0.280681998
22/8/20,0.286545992
23/8/20,0.285385996
24/8/20,0.289214998
25/8/20,0.277927011
26/8/20,0.277491003
27/8/20,0.264510989
28/8/20,0.272046
29/8/20,0.274497002
30/8/20,0.283033997
31/8/20,0.281765997
1/9/20,0.29569599
2/9/20,0.276461005
3/9/20,0.246580005
4/9/20,0.255883008
5/9/20,0.237691998
6/9/20,0.240731001
7/9/20,0.242174
8/9/20,0.236753002
9/9/20,0.239609003
10/9/20,0.243530005
11/9/20,0.243292004
12/9/20,0.247814
13/9/20,0.241800994
14/9/20,0.246326998
15/9/20,0.243849993
16/9/20,0.247847006
17/9/20,0.252193987
18/9/20,0.250707
19/9/20,0.251715988
20/9/20,0.246742994
21/9/20,0.232137993
22/9/20,0.233417004
23/9/20,0.221656993
24/9/20,0.233017996
25/9/20,0.241805002
26/9/20,0.242368996
27/9/20,0.243251994
28/9/20,0.242051005
29/9/20,0.243138999
30/9/20,0.242311001
1/10/20,0.238361001
2/10/20,0.234201998
3/10/20,0.233504996
4/10/20,0.248502001
5/10/20,0.250896007
6/10/20,0.245859995
7/10/20,0.249041006
8/10/20,0.251614988
10/10/20,0.254290015
11/10/20,0.255719006
14/10/20,0.249448001
15/10/20,0.24594
16/10/20,0.240443006
17/10/20,0.240931004
18/10/20,0.242225006
19/10/20,0.245964006
20/10/20,0.243572995
21/10/20,0.251614988
22/10/20,0.256806999
23/10/20,0.254878998
24/10/20,0.256431013
25/10/20,0.253212988
26/10/20,0.248687997
27/10/20,0.252898991
28/10/20,0.245865002
29/10/20,0.242294997
30/10/20,0.239184007
31/10/20,0.239743993
1/11/20,0.239796996
2/11/20,0.235421002
3/11/20,0.23951
4/11/20,0.237792999
5/11/20,0.245775998
6/11/20,0.258444995
7/11/20,0.249581993
8/11/20,0.253939003
9/11/20,0.250748008
10/11/20,0.253910989
11/11/20,0.256258994
12/11/20,0.254902989
13/11/20,0.265190989
14/11/20,0.268341988
15/11/20,0.269641995
16/11/20,0.285519987
17/11/20,0.30240801
18/11/20,0.294221997
19/11/20,0.303766012
20/11/20,0.328067988
21/11/20,0.458344012
22/11/20,0.443699986
23/11/20,0.613979995
24/11/20,0.692103028
25/11/20,0.635483027
26/11/20,0.533019006
27/11/20,0.559267998
28/11/20,0.625621974
29/11/20,0.606245995
30/11/20,0.664336979
1/12/20,0.612923026
