Date,XMR
14/2/20,94.81980133
15/2/20,88.87413788
16/2/20,88.41964722
17/2/20,82.4009552
18/2/20,86.10216522
19/2/20,78.18938446
20/2/20,76.60472107
21/2/20,80.40348816
22/2/20,79.09111023
23/2/20,84.99668884
24/2/20,79.12439728
25/2/20,76.79724884
26/2/20,70.88343048
27/2/20,69.82261658
28/2/20,68.14650726
29/2/20,66.48853302
1/3/20,64.73641968
2/3/20,68.48241425
3/3/20,66.02856445
4/3/20,65.83587646
5/3/20,68.63238525
6/3/20,68.91769409
7/3/20,65.4382019
8/3/20,56.37176895
9/3/20,55.25153351
10/3/20,54.95383835
11/3/20,54.11237335
12/3/20,33.01032257
13/3/20,36.83537292
14/3/20,36.21841049
15/3/20,38.07060623
16/3/20,33.81647873
17/3/20,35.36676025
18/3/20,35.92200089
19/3/20,41.10357285
20/3/20,40.11810684
21/3/20,41.14939117
22/3/20,38.34322739
23/3/20,44.14022446
24/3/20,47.18072128
25/3/20,47.04867935
26/3/20,50.18830109
27/3/20,48.44861221
28/3/20,47.13276291
29/3/20,44.10895157
30/3/20,46.78462219
31/3/20,47.77856445
1/4/20,48.51173401
2/4/20,50.75583267
3/4/20,52.9485054
4/4/20,54.27944183
5/4/20,53.49059677
6/4/20,58.37818146
7/4/20,55.92998505
8/4/20,57.55061722
9/4/20,58.49602509
10/4/20,53.616642
11/4/20,53.57931519
12/4/20,53.98192596
13/4/20,52.95217133
14/4/20,53.83323669
15/4/20,53.15386963
16/4/20,56.88468552
18/4/20,57.97225952
19/4/20,57.44784164
20/4/20,55.07001114
21/4/20,55.37745667
22/4/20,56.83672333
23/4/20,58.82196045
24/4/20,60.96895218
25/4/20,60.72507477
26/4/20,61.2282753
27/4/20,62.39132309
28/4/20,62.5005455
29/4/20,66.54595947
30/4/20,62.47930145
1/5/20,63.7686882
2/5/20,64.62197113
3/5/20,62.44111633
4/5/20,61.25154114
5/5/20,60.37734985
6/5/20,58.5362854
7/5/20,64.54569244
8/5/20,63.70349503
9/5/20,63.23921967
10/5/20,58.85837555
11/5/20,59.56058884
12/5/20,61.43450546
13/5/20,64.8664856
14/5/20,65.42181396
15/5/20,62.87422943
16/5/20,65.35791779
17/5/20,65.21220398
18/5/20,67.02838135
19/5/20,66.462883
20/5/20,64.71372223
21/5/20,61.78729248
22/5/20,63.15438843
23/5/20,63.83798218
24/5/20,61.19338226
25/5/20,61.6284523
26/5/20,61.80937958
27/5/20,64.5506897
28/5/20,67.07264709
29/5/20,66.23860168
30/5/20,68.35648346
31/5/20,65.06526184
1/6/20,67.6394043
2/6/20,66.48996735
3/6/20,67.13264465
4/6/20,68.18954468
5/6/20,67.69496155
6/6/20,67.60141754
7/6/20,66.61039734
8/6/20,68.23139191
9/6/20,68.27524567
10/6/20,69.6486969
11/6/20,63.91936111
12/6/20,65.83293915
13/6/20,66.61534882
