Date,ADA
6/8/20,0.144048005
7/8/20,0.139155
8/8/20,0.145780995
9/8/20,0.145244002
10/8/20,0.143855006
11/8/20,0.137436002
12/8/20,0.137398005
13/8/20,0.141244993
14/8/20,0.138338
15/8/20,0.138302997
16/8/20,0.138471007
17/8/20,0.140919998
18/8/20,0.137427002
19/8/20,0.129274994
20/8/20,0.133642003
21/8/20,0.12376
22/8/20,0.125275999
23/8/20,0.121595003
24/8/20,0.124488004
25/8/20,0.113292001
26/8/20,0.115285002
27/8/20,0.106824003
28/8/20,0.109453
29/8/20,0.116711996
30/8/20,0.117436998
31/8/20,0.122688003
1/9/20,0.125411004
2/9/20,0.115612999
3/9/20,0.096153997
4/9/20,0.102444999
5/9/20,0.089923002
6/9/20,0.093060002
7/9/20,0.093332998
8/9/20,0.091011003
9/9/20,0.093349002
10/9/20,0.097156003
11/9/20,0.096988998
12/9/20,0.097598001
13/9/20,0.094856001
14/9/20,0.096768998
15/9/20,0.093496002
16/9/20,0.091650002
17/9/20,0.094217002
18/9/20,0.091081001
19/9/20,0.091656998
20/9/20,0.089432999
21/9/20,0.080427997
22/9/20,0.081753999
23/9/20,0.07683
24/9/20,0.082895003
25/9/20,0.096909001
26/9/20,0.095550001
27/9/20,0.101205997
28/9/20,0.100695997
29/9/20,0.101135999
30/9/20,0.101145998
1/10/20,0.097878002
2/10/20,0.092913002
3/10/20,0.093684003
4/10/20,0.096300997
5/10/20,0.097686999
6/10/20,0.092909001
7/10/20,0.093935996
8/10/20,0.096242003
10/10/20,0.105025001
11/10/20,0.106537998
14/10/20,0.107297003
15/10/20,0.106634997
16/10/20,0.104064003
17/10/20,0.106104001
18/10/20,0.107387997
19/10/20,0.108677
20/10/20,0.102494001
21/10/20,0.106187001
22/10/20,0.110572003
23/10/20,0.108083002
24/10/20,0.108075
25/10/20,0.106351003
26/10/20,0.103096999
27/10/20,0.102826998
28/10/20,0.098977
29/10/20,0.095376
30/10/20,0.093369
31/10/20,0.093056001
1/11/20,0.098196998
2/11/20,0.092142999
3/11/20,0.093433999
4/11/20,0.095369004
5/11/20,0.096993998
6/11/20,0.109104998
7/11/20,0.101379
8/11/20,0.106620997
9/11/20,0.105324998
10/11/20,0.105805002
11/11/20,0.105965003
